polarity,homeless_trend
0.8684,1624
0.8684,1624
0.8126,10
0.8126,10
0.8126,10
0.5859,4
0.5859,4
0.5859,4
0.6249,2024
0.6249,2024
0.6249,2024
0.7277,368
0.7277,368
0.7277,368
0.5859,3129
0.5859,3129
0.5859,3129
0.6369,-9
0.6369,-9
0.6369,-9
0.8126,1
0.8126,1
0.8126,1
0.7351,426
0.7351,426
0.7351,426
0.836,368
0.836,368
0.836,368
0.7088,2024
0.7088,2024
0.7088,2024
0.7351,-9
0.7351,-9
0.7351,-9
0.765,114
0.765,114
0.765,114
0.8519,-9
0.8519,-9
0.8519,-9
0.8519,2024
0.8519,2024
0.8519,2024
0.8519,2024
0.8519,2024
0.8519,2024
0.7351,2024
0.7351,2024
0.7351,2024
0.6808,78
0.6808,78
0.6808,78
0.765,2024
0.765,2024
0.765,2024
0.5719,2024
0.5719,2024
0.5719,2024
0.7964,2024
0.7964,2024
0.7964,2024
0.7734,368
0.7734,368
0.7734,368
0.7906,107
0.7906,107
0.7906,107
0.6808,-9
0.6808,-9
0.6808,-9
0.8126,48
0.8126,48
0.8126,48
0.765,10
0.765,10
0.765,10
0.5162,2024
0.5162,2024
0.5162,2024
0.5267,368
0.5267,368
0.5267,368
0.6239,2024
0.6239,2024
0.6239,2024
0.6114,-9
0.6114,-9
0.6114,-9
0.7424,-9
0.7424,-9
0.7424,-9
0.5267,-9
0.5267,-9
0.5267,-9
0.6249,368
0.6249,368
0.6249,368
0.6249,-9
0.6249,-9
0.6249,-9
0.6825,2024
0.6825,2024
0.6825,2024
0.5994,2024
0.5994,2024
0.5994,2024
0.6705,2582
0.6705,2582
0.6705,2582
0.5574,44
0.5574,44
0.5574,44
0.568,2024
0.568,2024
0.568,2024
0.7297,78
0.7297,78
0.7297,78
0.765,368
0.765,368
0.765,368
0.6369,372
0.6369,372
0.6369,372
0.8166,107
0.8166,107
0.8166,107
0.7351,-9
0.7351,-9
0.7351,-9
0.5994,426
0.5994,426
0.5994,426
0.5994,-241
0.5994,-241
0.5994,-241
0.5267,13
0.5267,13
0.5267,13
0.5859,-9
0.5859,-9
0.5859,-9
0.6369,149
0.6369,149
0.6369,149
0.836,368
0.836,368
0.836,368
0.6249,368
0.6249,368
0.6249,368
0.6124,-9
0.6124,-9
0.6124,-9
0.75,44
0.75,44
0.75,44
0.7081,120
0.7081,120
0.7081,120
