polarity,homeless
-0.6486,4
-0.6486,4
-0.6486,4
-0.5719,5061
-0.5719,5061
-0.5719,5061
-0.5719,5061
-0.7,4
-0.7,4
-0.7,4
-0.5423,13
-0.5423,13
-0.5423,13
