"id","time","timestamp","lat","lng","polarity","followers","following","homeless","homeless_trend","food_class"
"0","26-04-2018 02:19:47","1524673187.0","-37.7760072","144.9708071","0.8883","380","564","4","-9","0"
"1","26-04-2018 13:23:29","1524713009.0","-33.86642251","151.2012542","0.0","37","169","5061","2024","0"
"2","26-04-2018 09:45:28","1524699928.0","-28.0183","153.3921","0.926","84","143","1708","368","0"
"3","26-04-2018 02:58:37","1524675517.0","-33.88888","151.27759","0.0","4111","4550","165","44","0"
"4","29-04-2018 05:15:22","1524942922.0","-37.8823","144.7","0.296","363","472","750","120","0"
"4","29-04-2018 05:15:22","1524942922.0","-37.8823","144.7","0.296","363","472","750","120","1"
"5","29-04-2018 07:49:26","1524952166.0","-27.999481","153.42798","0.6369","2617","1081","1708","368","0"
"6","28-04-2018 12:01:27","1524880887.0","-33.23436","151.5560099","0.0","155","1010","13","10","0"
"7","28-04-2018 08:46:31","1524869191.0","-38.14565147","145.25486876","0.0","457","1076","4","-9","0"
"8","29-04-2018 06:51:22","1524948682.0","-36.75","146.317","0.0","1103","1633","75","-30","0"
"9","29-04-2018 07:00:00","1524949200.0","-33.89607","150.91241","0.0","396","1082","1058","280","0"
"10","29-04-2018 07:15:59","1524950159.0","-28.0183","153.3921","0.6369","672","1477","1708","368","0"
"10","29-04-2018 07:15:59","1524950159.0","-28.0183","153.3921","0.6369","672","1477","1708","368","1"
"11","28-04-2018 06:22:55","1524860575.0","-37.816127","145.1942314","0.0","782","577","4","-9","0"
"12","28-04-2018 06:39:08","1524861548.0","-27.67859","153.02245","0.0","179","349","1205","179","0"
"13","28-04-2018 07:00:24","1524862824.0","-33.88720186","151.17431956","-0.6688","84","618","0","-1215","0"
"14","28-04-2018 07:34:31","1524864871.0","-33.77347581","150.97147078","-0.34","174","299","987","987","0"
"15","26-04-2018 07:32:35","1524691955.0","-37.81191","144.97188","0.3612","302","479","4","-9","0"
"15","26-04-2018 07:32:35","1524691955.0","-37.81191","144.97188","0.3612","302","479","4","-9","2"
"16","26-04-2018 05:12:19","1524683539.0","-33.8583283","151.20948426","0.6369","1650","920","5061","2024","0"
