"polarity","homeless","homeless_trend","food_group"
"0.0258","4","-9","1"
"0.0","4","-9","1"
"0.0","44","-48","3"
"0.0","1599","-140","3"
"0.4404","1599","-140","0"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"-0.3612","4","-9","1"
"0.6249","4","-9","2"
"0.6784","4","-9","4"
"-0.296","4","-9","1"
"0.0","4","-9","1"
"0.5719","4","-9","4"
"0.0","4","-9","2"
"0.0","4","-9","1"
"-0.5267","4","-9","2"
"0.0","4","-9","2"
"0.4767","4","-9","4"
"0.5719","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","1"
"0.0","4","-9","1"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.0","4","-9","0"
"0.0","4","-9","1"
"0.3182","4","-9","2"
"0.0","4","-9","2"
"0.4939","4","-9","2"
"0.5267","4","-9","2"
"0.0","4","-9","2"
"0.6124","1599","-140","2"
"0.0","4","-9","0"
"0.3182","4","-9","1"
"0.6369","4","-9","3"
"-0.1531","4","-9","1"
"0.4019","4","-9","1"
"0.0","4","-9","3"
"0.0","497","115","0"
"0.4404","1942","427","1"
"0.6369","4","-9","4"
"-0.296","4","-9","1"
"0.5719","4","-9","0"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","4"
"0.0","4","-9","1"
"0.7845","4","-9","1"
"0.0","4","-9","2"
"0.4588","4","-9","1"
"0.0","4","-9","0"
"0.0","4","-9","3"
"0.5719","4","-9","2"
"0.5106","4","-9","1"
"0.0258","4","-9","1"
"0.2263","4","-9","2"
"0.0","497","115","1"
"0.0258","4","-9","2"
"0.4404","4","-9","2"
"0.4588","497","115","2"
"0.0","4","-9","2"
"0.0258","4","-9","1"
"0.8636","4","-9","1"
"-0.6597","4","-9","1"
"0.4199","1599","-140","3"
"0.4019","497","115","2"
"0.4019","497","115","2"
"0.0","1599","-140","2"
"0.5574","1599","-140","1"
"0.6369","1599","-140","1"
"-0.4019","1599","-140","1"
"0.0","1599","-140","1"
"0.0","1599","-140","1"
"0.1531","1599","-140","1"
"0.2023","1599","-140","1"
"0.7717","1599","-140","1"
"0.6486","1599","-140","3"
"-0.228","1599","-140","1"
"0.4404","1599","-140","3"
"0.6124","4","-9","4"
"0.4215","4","-9","2"
"0.3612","4","-9","3"
"0.0","4","-9","1"
"0.3384","4","-9","2"
"0.4019","4","-9","2"
"0.5574","4","-9","2"
"0.0","497","115","2"
"0.3612","4","-9","2"
"0.5574","4","-9","2"
"0.7717","4","-9","1"
"0.0","4","-9","1"
"0.0","4","-9","2"
"0.3182","4","-9","2"
"0.765","4","-9","0"
"0.0","4","-9","2"
"0.5574","4","-9","1"
"0.3657","4","-9","1"
"-0.4404","309","42","2"
"0.5777","4","-9","2"
"0.4939","4","-9","1"
"0.7184","4","-9","2"
"0.101","9","-21","1"
"0.5411","4","-9","1"
"0.0","4","-9","1"
"0.0839","4","-9","4"
"-0.1511","4","-9","0"
"0.9117","4","-9","1"
"0.7717","4","-9","4"
"0.0","4","-9","2"
"0.0","4","-9","0"
"0.0","4","-9","1"
"0.6908","4","-9","2"
"0.3578","309","42","4"
"0.7184","4","-9","2"
"0.0","192","24","0"
"0.0","4","-9","0"
"0.0","4","-9","2"
"0.4927","309","42","2"
"0.0","4","-9","0"
"0.7574","4","-9","0"
"0.5719","4","-9","2"
"0.0","4","-9","0"
"0.0","4","-9","2"
"0.5106","4","-9","2"
"0.5719","4","-9","2"
"0.5423","4","-9","1"
"0.0","4","-9","2"
"0.4404","4","-9","3"
"0.765","4","-9","2"
"0.0","4","-9","0"
"-0.3818","4","-9","1"
"0.4215","4","-9","2"
"0.5719","4","-9","2"
"0.0","4","-9","1"
"-0.296","4","-9","1"
"0.4215","4","-9","1"
"0.8091","4","-9","2"
"-0.6486","4","-9","1"
"0.6369","497","115","0"
"0.296","4","-9","2"
"-0.6486","4","-9","1"
"0.0","4","-9","2"
"-0.3412","4","-9","3"
"0.6249","4","-9","2"
"-0.6523","4","-9","1"
"0.7096","4","-9","1"
"0.0","4","-9","2"
"-0.6249","4","-9","0"
"0.3182","4","-9","1"
"0.1027","4","-9","1"
"0.3899","4","-9","1"
"0.8439","4","-9","1"
"0.0","4","-9","0"
"-0.6486","4","-9","1"
"0.0","4","-9","0"
"0.4939","4","-9","1"
"-0.1779","4","-9","1"
"0.0","4","-9","1"
"0.6705","4","-9","1"
"0.0","4","-9","0"
"-0.6486","4","-9","1"
"0.7964","4","-9","2"
"0.6124","4","-9","1"
"-0.296","4","-9","1"
"0.5859","4","-9","2"
"0.5423","4","-9","0"
"0.0","4","-9","1"
"0.0","309","42","0"
"0.0","4","-9","0"
"-0.6486","4","-9","1"
"0.3182","4","-9","1"
"0.0","4","-9","2"
"0.5267","497","115","2"
"0.5707","4","-9","0"
"0.0","4","-9","2"
"0.3182","4","-9","2"
"0.4019","4","-9","3"
"0.2444","4","-9","1"
"0.4545","4","-9","1"
"-0.296","4","-9","1"
"0.6369","4","-9","2"
"0.5707","4","-9","2"
"0.1027","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","3"
"0.7472","497","115","1"
"-0.4215","4","-9","3"
"-0.4019","4","-9","1"
"-0.6486","4","-9","1"
"0.8074","4","-9","0"
"0.836","4","-9","2"
"0.0","4","-9","2"
"0.3971","4","-9","1"
"0.0","4","-9","1"
"0.3182","4","-9","1"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.5267","4","-9","1"
"0.5267","4","-9","1"
"-0.296","4","-9","1"
"0.6369","4","-9","0"
"0.0","4","-9","0"
"0.0","4","-9","0"
"0.0","4","-9","0"
"0.0","4","-9","2"
"0.4019","497","115","2"
"0.5859","4","-9","2"
"0.6022","9","-21","0"
"-0.6486","4","-9","1"
"0.0","174","16","3"
"0.3182","4","-9","0"
"0.0","4","-9","2"
"0.0","4","-9","1"
"0.8095","4","-9","1"
"0.0","4","-9","3"
"0.4939","4","-9","2"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.4019","4","-9","2"
"0.6249","4","-9","3"
"0.4199","497","115","2"
"0.0","4","-9","4"
"-0.296","4","-9","1"
"0.0","309","42","1"
"0.5719","4","-9","1"
"0.4588","4","-9","3"
"0.1531","4","-9","1"
"0.0","4","-9","1"
"0.0","4","-9","1"
"0.4588","4","-9","0"
"-0.6486","4","-9","1"
"0.0","4","-9","0"
"0.0","4","-9","1"
"0.4351","4","-9","0"
"-0.6486","4","-9","1"
"0.6369","4","-9","0"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.0","9","-21","1"
"0.8144","4","-9","3"
"0.4404","4","-9","2"
"0.4404","4","-9","2"
"0.6792","4","-9","3"
"-0.296","4","-9","1"
"0.4215","9","-21","2"
"0.6369","9","-21","2"
"0.0","4","-9","3"
"0.7717","4","-9","2"
"0.0","4","-9","2"
"0.886","4","-9","2"
"0.5093","4","-9","2"
"0.872","4","-9","0"
"0.5574","4","-9","3"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.7184","4","-9","2"
"0.3987","497","115","4"
"-0.296","4","-9","1"
"0.128","4","-9","0"
"0.0","4","-9","1"
"0.0","4","-9","3"
"0.0","4","-9","3"
"0.4404","4","-9","2"
"0.0","4","-9","1"
"0.5719","4","-9","2"
"-0.6486","4","-9","1"
"0.0","4","-9","2"
"-0.4215","4","-9","0"
"0.6369","4","-9","0"
"0.0","4","-9","2"
"0.25","4","-9","3"
"0.656","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.6115","4","-9","0"
"-0.5411","4","-9","1"
"0.0","4","-9","2"
"0.0","192","24","2"
"0.7861","4","-9","1"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.0772","4","-9","3"
"0.8087","4","-9","2"
"-0.296","4","-9","1"
"-0.6486","4","-9","1"
"0.0","4","-9","2"
"0.4574","4","-9","1"
"0.0","4","-9","1"
"-0.4184","4","-9","2"
"-0.296","4","-9","1"
"-0.6486","4","-9","1"
"0.6114","4","-9","3"
"0.0","4","-9","0"
"0.0","4","-9","2"
"0.0","4","-9","3"
"0.0","4","-9","4"
"0.0","4","-9","0"
"-0.6486","4","-9","1"
"0.6369","4","-9","1"
"0.6696","4","-9","0"
"0.0","4","-9","0"
"-0.296","4","-9","1"
"0.0","4","-9","1"
"0.0","4","-9","4"
"0.0","4","-9","4"
"-0.296","4","-9","1"
"0.8797","4","-9","3"
"0.0","4","-9","1"
"0.0","4","-9","2"
"0.9257","4","-9","2"
"0.0","4","-9","4"
"-0.296","4","-9","1"
"-0.6597","4","-9","1"
"0.0","4","-9","4"
"0.6124","4","-9","4"
"0.0","4","-9","2"
"0.0","4","-9","0"
"-0.4005","4","-9","3"
"0.0","4","-9","0"
"0.0","9","-21","1"
"-0.3412","4","-9","0"
"0.8074","4","-9","2"
"0.0","4","-9","4"
"0.0","4","-9","1"
"0.0","4","-9","2"
"0.3802","4","-9","2"
"0.0","4","-9","0"
"-0.296","4","-9","1"
"0.0","4","-9","1"
"-0.6486","4","-9","1"
"0.6249","4","-9","2"
"0.4588","4","-9","1"
"-0.4215","4","-9","1"
"0.6249","4","-9","0"
"0.8481","4","-9","2"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.5562","4","-9","1"
"0.6361","4","-9","1"
"0.0","4","-9","3"
"0.0","4","-9","1"
"0.0","4","-9","3"
"0.8402","4","-9","3"
"-0.4019","4","-9","1"
"0.0","9","-21","2"
"0.2732","4","-9","0"
"0.1027","4","-9","1"
"0.4019","4","-9","2"
"0.0","4","-9","4"
"0.6114","4","-9","2"
"0.2919","4","-9","1"
"0.5093","497","115","2"
"0.5719","4","-9","2"
"0.5267","4","-9","1"
"0.1027","4","-9","1"
"0.0","4","-9","4"
"0.0","4","-9","2"
"0.0","4","-9","2"
