polarity,homeless,homeless_trend
0.6249,13,10
0.6249,13,10
0.6249,13,10
0.6249,13,10
0.7351,1599,-140
0.7351,1599,-140
0.7351,1599,-140
0.7351,1599,-140
0.8316,5061,2024
0.8316,5061,2024
0.8316,5061,2024
0.5411,4,-9
0.5411,4,-9
0.5411,4,-9
0.8519,1599,-140
0.8519,1599,-140
0.8519,1599,-140
0.5255,4,-9
0.5255,4,-9
0.5255,4,-9
0.765,5061,2024
0.765,5061,2024
0.765,5061,2024
0.6696,4,-9
0.6696,4,-9
0.6696,4,-9
0.8074,4,-9
0.8074,4,-9
0.8074,4,-9
0.7405,456,149
0.7405,456,149
0.7405,456,149
0.5106,4,-9
0.5106,4,-9
0.5106,4,-9
0.7717,5061,2024
0.7717,5061,2024
0.7717,5061,2024
0.8478,5061,2024
0.8478,5061,2024
0.8478,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.6114,355,-3
0.6114,355,-3
0.6114,355,-3
0.7906,2582,2582
0.7906,2582,2582
0.7906,2582,2582
0.7906,95,38
0.7906,95,38
0.7906,95,38
0.5106,66,66
0.5106,66,66
0.5106,66,66
0.6114,355,-3
0.6114,355,-3
0.6114,355,-3
0.5093,5061,2024
0.5093,5061,2024
0.5093,5061,2024
0.6369,709,-241
0.6369,709,-241
0.6369,709,-241
0.6705,5061,2024
0.6705,5061,2024
0.6705,5061,2024
0.8126,5061,2024
0.8126,5061,2024
0.8126,5061,2024
0.7964,5061,2024
0.7964,5061,2024
0.7964,5061,2024
0.5859,709,-241
0.5859,709,-241
0.5859,709,-241
0.5859,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.9179,709,-241
0.9179,709,-241
0.9179,709,-241
0.7506,709,-241
0.7506,709,-241
0.7506,709,-241
0.5859,3129,3129
0.5859,3129,3129
0.5859,3129,3129
0.5696,0,-1215
0.5696,0,-1215
0.5696,0,-1215
0.802,4,-9
0.802,4,-9
0.802,4,-9
0.5994,355,-3
0.5994,355,-3
0.5994,355,-3
0.8684,5813,1624
0.8684,5813,1624
0.8684,5813,1624
0.8126,13,10
0.8126,13,10
0.8126,13,10
0.5859,493,4
0.5859,493,4
0.5859,493,4
0.6249,5061,2024
0.6249,5061,2024
0.6249,5061,2024
0.7277,1708,368
0.7277,1708,368
0.7277,1708,368
0.5859,3129,3129
0.5859,3129,3129
0.5859,3129,3129
0.6369,4,-9
0.6369,4,-9
0.6369,4,-9
0.8126,62,1
0.8126,62,1
0.8126,62,1
0.7351,1166,426
0.7351,1166,426
0.7351,1166,426
0.836,1708,368
0.836,1708,368
0.836,1708,368
0.7088,5061,2024
0.7088,5061,2024
0.7088,5061,2024
0.7351,4,-9
0.7351,4,-9
0.7351,4,-9
0.765,337,114
0.765,337,114
0.765,337,114
0.8519,4,-9
0.8519,4,-9
0.8519,4,-9
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.7351,5061,2024
0.7351,5061,2024
0.7351,5061,2024
0.6808,387,78
0.6808,387,78
0.6808,387,78
0.765,5061,2024
0.765,5061,2024
0.765,5061,2024
0.5719,5061,2024
0.5719,5061,2024
0.5719,5061,2024
0.7964,5061,2024
0.7964,5061,2024
0.7964,5061,2024
0.7734,1708,368
0.7734,1708,368
0.7734,1708,368
0.7906,225,107
0.7906,225,107
0.7906,225,107
0.6808,4,-9
0.6808,4,-9
0.6808,4,-9
0.8126,327,48
0.8126,327,48
0.8126,327,48
0.765,13,10
0.765,13,10
0.765,13,10
0.5162,5061,2024
0.5162,5061,2024
0.5162,5061,2024
0.5267,1708,368
0.5267,1708,368
0.5267,1708,368
0.6239,5061,2024
0.6239,5061,2024
0.6239,5061,2024
0.6114,4,-9
0.6114,4,-9
0.6114,4,-9
0.7424,4,-9
0.7424,4,-9
0.7424,4,-9
0.5267,4,-9
0.5267,4,-9
0.5267,4,-9
0.6249,1708,368
0.6249,1708,368
0.6249,1708,368
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.6825,5061,2024
0.6825,5061,2024
0.6825,5061,2024
0.5994,5061,2024
0.5994,5061,2024
0.5994,5061,2024
0.6705,2582,2582
0.6705,2582,2582
0.6705,2582,2582
0.5574,165,44
0.5574,165,44
0.5574,165,44
0.568,5061,2024
0.568,5061,2024
0.568,5061,2024
0.7297,387,78
0.7297,387,78
0.7297,387,78
0.765,1708,368
0.765,1708,368
0.765,1708,368
0.6369,372,372
0.6369,372,372
0.6369,372,372
0.8166,225,107
0.8166,225,107
0.8166,225,107
0.7351,4,-9
0.7351,4,-9
0.7351,4,-9
